product_uuid,actual_price,selling_price,average_rating,brand,category,out_of_stock,product_id,seller,sub_category,title,discount
37d98836-37d4-5814-a108-1b7a5b6b8d0a,2469.0,699.0,2.7,Unknown,Clothing and Accessories,0,CTPFVSTDYXRPXGKY,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),71.0
1e865a0f-09df-525c-9fb2-3d539088a1a4,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZFYR8KGYYBJ,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
026059ed-57aa-57db-8d0e-2ffc0d46d820,2469.0,499.0,4.0,Unknown,Clothing and Accessories,0,CTPFVQZX4SZHHHHZ,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Beige),79.0
cd6137a4-93c2-5062-96a6-5aa863f6004a,2469.0,499.0,4.0,Unknown,Clothing and Accessories,1,CTPFVZNX3KKES9DH,Unknown,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),79.0
c29e687a-e562-56c5-8d38-3cba424ed893,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPFHHH9DDWSH,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Multicolor),77.0
54e22e27-ce41-5c59-a3e7-941c589ac410,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFW3W97JMQVBYG,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),77.0
dc21450e-5bf8-5501-8945-c1e8aa7fcd2e,2499.0,599.0,4.3,Unknown,Clothing and Accessories,0,CTPFVPH6TJ3GHRBY,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Pink),76.0
7169c8e8-3431-573c-a244-7b027063b6f2,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVQP3GDSC3DUT,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Pink),79.0
1f20aac9-1151-5b70-8e4f-654ac16a8fb3,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPZC7KGJA2BW,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Multicolor),77.0
d022a9c7-7b77-5a44-9cb2-24cdf43eb911,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPFCGQYH8C2Z,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Multicolor),77.0
1bb98b95-37b4-56f8-8a24-33b5706ff839,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFW3VX6NGRNZUE,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),77.0
70bd51f9-6364-5ec8-aa05-f7013d2951bc,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPZJKWRJ9A8H,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
f396f7d8-56e4-5da0-8d36-276b853515ea,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVQNGFCRGYK2H,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Beige),79.0
655cfa59-6c3e-516c-828c-679d8944bc89,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVHUJEHSYXDHV,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Orange),77.0
